taxa,species_group
Bylgides sarsi,Polychaeta
Sprattus sprattus,Clupeidae
Pisces,Other fish
Clupea harengus,Clupeidae
Gasterosteus aculeatus,Other fish
Mysis mixta,Other inverts
Crangon crangon,Other inverts
Gammarus sp.,Amphipoda
Gobiidae,Gobiidae
Clupeidae,Clupeidae
Pontoporeia femorata,Amphipoda
Neomysis integer,Other inverts
Neogobius melanostomus,Gobiidae
Praunus flexuosus,Other inverts
Diastylis rathkei,Cumacea
Saduria entomon,Saduria entomon
Gadus morhua,Gadiformes
Decapoda,Other inverts
Monoporeia affinis,Amphipoda
Bivalvia,Other inverts
Ammodytidae,Other fish
Halicryptus spinulosus,Other inverts
Enchelyopus cimbrius,Other fish
Mya arenaria,Other inverts
Agonus cataphractus,Other fish
Priapulida,Other inverts
Mytilus sp.,Mytilus sp.
Limecola balthica,Limecola balthica
Copepoda,Other inverts
Mysida,Other inverts
Pontoporeidae,Amphipoda
Priapulus caudatus,Other inverts
Scoloplos armiger,Polychaeta
Crustacea,Other inverts
Palaemon sp.,Other inverts
Mysidae,Other inverts
Platichthys flesus,Other fish
Macoma balthica,Other inverts
Pontoporeiidae,Amphipoda
Polychaeta,Polychaeta
Nephtys ciliata,Polychaeta
Gastrosacus,Other inverts
Halicryptus,Other inverts
Zoarces viviparus,Other fish
Amphipoda,Amphipoda
Cumacea,Cumacea
Idotea balthica,Other inverts
Pleuronectidae,Other fish
Pectinaria sp.,Polychaeta
Gobius niger,Gobiidae
Phyllodocida,Polychaeta
Pungitius pungitius,Other fish
Gasterosteidae,Other fish
Palaemon elegans,Other inverts
Cottidae,Other fish
Amphibalanus improvisus,Other inverts
Hediste diversicolor,Polychaeta
Corophium volutator,Amphipoda
Caridea,Other inverts
Gadidae,Gadiformes
Spinachia spinachia,Other fish
Myoxocephalus quadricornis,Other fish
Ammodytes tobianus,Other fish
Carcinus maenas,Other inverts
Gastropoda,Other inverts
Palaemonidae,Other inverts
Cerastoderma glaucum,Other inverts
Hyperoplus lanceolatus,Other fish
Hydrobia sp.,Other inverts
Pleuronectiformes,Other fish
Scophthalmus maximus,Other fish
Mysis relicta,Other inverts
Pontoporeia sp.,Amphipoda
Pisces Eggs,Other fish
Hyperia galba,Amphipoda
Pomatoschistus minutus,Gobiidae
Mollusca,Other inverts
Priapulidae,Other inverts
Trachurus trachurus,Other fish
Annelida,Polychaeta
Merlangius merlangus,Gadiformes
Pleuronectes platessa,Other fish
Anguilla anguilla,Other fish
Terebellides stroemii,Polychaeta
Calanoida,Other inverts
Belone belone,Other fish
Insecta,Other inverts
Mytilus edulis,Mytilus sp.
Myoxocephalus scorpius,Other fish
